"Nombre","Descripcion","Afiliacion","Imagen"
"Harry Potter","Harry Potter is The Boy Who Lived, singled out by Lord Voldemort at birth to be his greatest rival, and our hero","Griffindor","//images.pottermore.com/bxd3o8b291gf/7cpPZFFu92oY46WWiiQcc2/909c7290404dfcda472cb330dc84c135/Harry-Potter-in-cupboard-Jim-Kay-RGB-636x800.jpg?w=320&h=320&fit=thumb&f=center&q=85"
"Ron Weasley","One of Harry Potter’s two best friends, fellow Gryffindor, and youngest Weasley son ","Griffindor","//images.pottermore.com/bxd3o8b291gf/5d7Gg1eDZCiioy484qQ8U2/3a6346bc4b063da402f575c30872860b/Ron_-_Jim_Kay.jpg?w=320&h=320&fit=thumb&f=center&q=85"
"Hermione Granger ","From bookish Muggle-born to one of Gryffindor's bravest","Griffindor","//images.pottermore.com/bxd3o8b291gf/52vPQPYTWggsWiSoWyssoK/b6f5b4f90d75fe569b75b5823e62caa7/Hermione_-_Jim_Kay_1_.jpg?w=320&h=320&fit=thumb&f=right&q=85"
"Albus Dumbledore","Hogwarts Headmaster, founder of the Order of the Phoenix, with a fondness for sherbet lemons and knitting patterns","Griffindor","//images.pottermore.com/bxd3o8b291gf/iT35lw9b44KCykiGUqG2E/7bcfc17dab5db86364005769f1932fd8/Pottermore_CharacterPortraits_Dumbledore_Colour_05JH.jpg?w=320&h=320&fit=thumb&f=center&q=85"
"Minerva McGonagall","The strict but fair Head of Gryffindor house and Transfiguration teacher","Griffindor","//images.pottermore.com/bxd3o8b291gf/3cXX1Bx4JiC062mYKk26eS/642fc48d6f4c4be8dd0479b6ab1785ea/MinervaMcGonagall_WB_F6_McGonagallHoldingHat_Still_080615_Port.jpg?w=320&h=320&fit=thumb&f=top&q=85"
"Neville Longbottom","A clumsy but keen Herbology student and shy Gryffindor with great inner strength","Griffindor","//images.pottermore.com/bxd3o8b291gf/4UolxO09uEsKIos6G8kIA/9406f04a6e23e0ddc0bc34dba3085ffa/NevilleLongbottom_WB_F8_NevilleLongbottomFullShot_Still_080615_Port.jpg?w=320&h=320&fit=thumb&f=top&q=85"
"James Potter","Harry's father, and a member of the Marauders and the first Order of the Phoenix. Murdered by Voldemort during the First Wizarding War","Griffindor","//images.pottermore.com/bxd3o8b291gf/4fvLcH6Zhe66OCM06EGOOE/aa2c0df207e7cc2a2384922e117d1762/01-James-580.gif?w=320&h=320&fit=thumb&f=center&q=85"
"Lily Potter","Harry’s mother, a talented Muggle-born witch who was murdered by Voldemort during the First Wizarding War","Griffindor","//images.pottermore.com/bxd3o8b291gf/5zTjcmp0nm0IQsIMgEie2Y/8402509ef943eaec768150fc66083686/Lily.jpg?w=320&h=320&fit=thumb&f=center&q=85"
"Sirius Black","Harry's Animagus godfather who escaped from Azkaban. Old friend of James and Lily Potter","Griffindor","//images.pottermore.com/bxd3o8b291gf/3ucQpHSzXaWw4CqWYOKWYo/268e4be5f8778403a660a1f5e2cf7f5d/SiriusBlack_WB_F3_SiriusTrappedInTopTower_Image_100615_Land.jpg?w=320&h=320&fit=thumb&f=left&q=85"
"Remus Lupin","A member of the Order of the Phoenix, Hogwarts teacher, Tonks’ husband - and a werewolf","Griffindor","//images.pottermore.com/bxd3o8b291gf/2yA1wcnhZqm2cyCqQGms0O/30de38d772f97316ac7c77d1b320c9d6/RemusLupin_WB_F3_LupinLookingConcernedInHisOffice_Still_080615_Land.jpg?w=320&h=320&fit=thumb&f=center&q=85"
